l_orderkey          revenue             o_orderdate         o_shippriority      
--------------------------------------------------------------------------------
2456423             406181.011100       1995-03-05          0                   
3459808             405838.698900       1995-03-04          0                   
492164              390324.061000       1995-02-19          0                   
1188320             384537.935900       1995-03-09          0                   
2435712             378673.055800       1995-02-26          0                   
4878020             378376.795200       1995-03-12          0                   
5521732             375153.921500       1995-03-13          0                   
2628192             373133.309400       1995-02-22          0                   
993600              371407.459500       1995-03-05          0                   
2300070             367371.145200       1995-03-13          0                   
1166660             365967.442400       1995-02-27          0                   
1083941             365184.492200       1995-02-21          0                   
405063              359706.569700       1995-03-03          0                   
4212103             356025.216300       1995-02-14          0                   
4232067             355384.542300       1995-02-21          0                   
817603              354799.888600       1995-03-11          0                   
408035              351700.177100       1995-03-08          0                   
4463334             350549.078900       1995-03-14          0                   
1546404             350411.089800       1995-03-11          0                   
345664              347632.928300       1995-03-08          0                   
2864672             345570.447600       1995-03-13          0                   
5680037             345361.291000       1995-03-14          0                   
775873              345317.900100       1995-03-13          0                   
4451046             345194.694700       1995-02-20          0                   
5455494             343607.220400       1995-02-21          0                   
4391237             343202.380400       1995-03-05          0                   
1660512             342900.921200       1995-01-16          0                   
369862              341547.782400       1995-03-14          0                   
2060449             340743.108800       1995-03-08          0                   
5160228             338557.503500       1995-03-13          0                   
1549319             337587.162900       1995-03-07          0                   
1124067             337439.205600       1995-03-12          0                   
754912              337349.888900       1995-02-14          0                   
4289698             336980.431000       1995-01-23          0                   
3328709             336896.632300       1995-03-09          0                   
2517952             336320.905700       1995-02-20          0                   
4129095             335723.120900       1995-02-17          0                   
5844161             334427.746100       1995-03-05          0                   
4487361             332789.127000       1995-02-22          0                   
1815554             332654.923100       1995-03-12          0                   
3681568             332599.860100       1995-02-27          0                   
217572              332211.614100       1995-03-05          0                   
1827495             331854.927200       1995-03-04          0                   
1175943             331847.726300       1995-03-13          0                   
2020610             330992.170700       1995-02-05          0                   
2994211             330726.830600       1995-03-05          0                   
2948355             329877.788600       1995-01-21          0                   
181793              329629.925200       1995-02-14          0                   
1586850             329213.997700       1995-03-10          0                   
4346215             329005.118200       1995-02-21          0                   
4641217             329001.174900       1995-02-15          0                   
821158              328507.310100       1995-01-09          0                   
303360              328213.162200       1995-03-14          0                   
4065637             326715.980600       1995-01-19          0                   
4393826             326524.755000       1995-03-06          0                   
1969217             326459.356600       1995-03-13          0                   
3154627             325810.255600       1995-01-24          0                   
4225253             325488.097900       1995-02-28          0                   
891490              324468.619800       1995-03-08          0                   
1635941             323680.822800       1995-02-22          0                   
5363396             323373.479000       1995-03-12          0                   
2880898             322087.154100       1995-02-23          0                   
462502              321750.287100       1995-03-08          0                   
1232902             321384.617800       1995-03-01          0                   
2192676             320963.568000       1995-03-07          0                   
4878882             320894.249000       1995-03-01          0                   
4617957             320542.046000       1995-01-28          0                   
3841217             320473.434900       1995-03-05          0                   
2955847             319815.285400       1995-02-07          0                   
1220678             319670.378400       1995-02-09          0                   
5949254             317913.463900       1995-03-11          0                   
1881824             317585.074900       1995-01-27          0                   
5901729             317343.430100       1995-03-03          0                   
1708417             317181.993200       1995-03-05          0                   
3923874             317133.305300       1995-03-10          0                   
1274374             316332.971500       1995-02-24          0                   
4456832             316170.039100       1995-02-23          0                   
632292              315180.177500       1995-02-26          0                   
3946406             314724.417300       1995-02-06          0                   
964002              314131.935900       1995-02-27          0                   
5089889             313272.944100       1995-02-14          0                   
1092293             313210.672300       1995-03-05          0                   
2818756             312939.388600       1995-03-06          0                   
4115877             312893.474900       1995-02-13          0                   
311266              312371.653800       1995-02-17          0                   
2288865             311949.407500       1995-02-18          0                   
2988803             311847.942100       1995-03-11          0                   
4090502             311808.081500       1995-02-02          0                   
3287808             310998.296700       1995-02-17          0                   
5188579             310709.684900       1995-02-06          0                   
1260007             310574.454000       1995-03-12          0                   
2979175             309437.960900       1995-02-27          0                   
804932              309359.655400       1995-03-05          0                   
4175075             309272.510900       1995-02-09          0                   
580033              308706.319900       1995-03-02          0                   
1834755             308449.576200       1995-03-09          0                   
5346629             308421.563400       1995-02-19          0                   
4373991             308007.350500       1995-03-01          0                   
1288001             307823.951400       1995-02-27          0                   
3393030             307407.986100       1995-02-18          0                   
2509287             306927.079300       1995-03-07          0                   
169668              305965.782700       1995-01-12          0                   
130787              305761.801400       1995-02-03          0                   
1160455             304779.527500       1995-03-04          0                   
2175907             304254.965000       1995-03-14          0                   
3194598             304232.906900       1995-03-05          0                   
1616518             303848.641200       1995-02-25          0                   
360804              303816.944100       1995-02-23          0                   
1384993             303763.069600       1995-02-14          0                   
2419904             303741.782800       1995-03-01          0                   
3721319             303709.673600       1995-02-10          0                   
5353574             303479.983300       1995-03-14          0                   
167618              302207.922200       1995-03-13          0                   
5620545             301917.710800       1995-03-07          0                   
4961984             301849.835900       1995-03-08          0                   
5664482             301842.011000       1995-03-14          0                   
1357093             301354.792600       1995-03-08          0                   
3079552             301324.320600       1995-02-13          0                   
159809              301135.498400       1995-02-08          0                   
2889126             299665.223000       1995-03-06          0                   
3461635             299432.752800       1995-02-18          0                   
1908865             298970.535800       1995-03-06          0                   
1565188             298505.802400       1995-03-09          0                   
4955012             298189.569900       1995-03-04          0                   
2142407             298121.403100       1995-02-03          0                   
1730400             297692.700100       1995-02-13          0                   
1998626             297557.594400       1995-03-08          0                   
3761543             297282.414500       1995-03-12          0                   
1190215             296768.809700       1995-02-26          0                   
5173316             296349.790700       1995-03-02          0                   
4163941             295975.124800       1995-01-14          0                   
255361              295962.003900       1995-02-22          0                   
669248              295813.229700       1995-03-11          0                   
5151010             295559.479000       1995-01-22          0                   
762690              295530.738800       1995-02-13          0                   
3052608             295329.347500       1995-03-13          0                   
4280001             295193.276000       1995-03-06          0                   
5144481             295185.120600       1995-03-03          0                   
749472              295047.732000       1995-02-21          0                   
4003234             294800.449400       1995-03-03          0                   
738822              294539.379800       1995-02-04          0                   
353922              294533.831500       1995-03-02          0                   
3469990             294484.347600       1995-03-12          0                   
4164994             294164.395600       1995-03-01          0                   
4187264             293884.134000       1995-01-27          0                   
2743844             293431.591500       1995-03-04          0                   
2282054             292793.026900       1995-02-17          0                   
3866279             292304.956200       1995-02-15          0                   
4460578             292275.333700       1995-03-14          0                   
3887173             292150.034300       1995-03-08          0                   
771396              291656.690600       1995-01-30          0                   
1478115             291611.763900       1995-02-05          0                   
654400              291494.323800       1995-02-28          0                   
783522              291359.400600       1995-02-28          0                   
4093925             291134.970900       1995-03-10          0                   
132774              291101.501200       1995-02-27          0                   
5742880             290300.220700       1995-03-11          0                   
834758              290157.987200       1995-02-15          0                   
3686211             289846.052300       1995-03-02          0                   
1019200             289795.719000       1995-03-12          0                   
980484              289655.201600       1995-01-16          0                   
