s_name              s_address           
----------------------------------------
Supplier#000000020  iybAE,RmTymrZVYaFZva2SH,j
Supplier#000000091  YV45D7TkfdQanOOZ7q9QxkyGUapU1oOWU6q3
Supplier#000000197  YC2Acon6kjY3zj3Fbxs2k4Vdf7X0cd2F
Supplier#000000226  83qOdU2EYRdPQAQhEtn GRZEd
Supplier#000000285  Br7e1nnt1yxrw6ImgpJ7YdhFDjuBf
Supplier#000000287  7a9SP7qW5Yku5PvSg   
Supplier#000000354  w8fOo5W,aS          
Supplier#000000358  V3yxhHhHSXqOoc5UPv5TwkVDGKQsG
Supplier#000000431  WoeV,NINojE6hJjauAdrl5fGcdxX5JUPLnrim
Supplier#000000475  xw4V6,4QQW LI5Qg EOKy4JD B4Cq1tjzaOma9Y
Supplier#000000530  0qwCMwobKY OcmLyfRXlagA8ukENJv,
Supplier#000000532  ep92hT7VLaVlDKM7lgbj02kIL
Supplier#000000657  nas2fhRwM97W8EEqYpBN
Supplier#000000688  D fw5ocppmZpYBBIPI718hCihLDZ5KhKX
Supplier#000000710  f19YPvOyb QoYwjKC,oPycpGfieBAcwKJo
Supplier#000000729  pqck2ppy758TQpZCUAjPvlU55K3QjfL7Bi
Supplier#000000736  l6i2nMwVuovfKnuVgaSGK2rDy65DlAFLegiL7
Supplier#000000783  dMpZwZ95xznZWg4acMQW dK8AQMhB
Supplier#000000884  bmhEShejaS          
Supplier#000000971  23XaUVLYuC3tQIPHCuLLgM5UawL
Supplier#000001033  A6x1P,56sVHkb4DqVyUw32n,ChI
Supplier#000001123  n5L 4Otbff3oXbr0Ibs 
Supplier#000001141  xCOuPvOd565r9H31,xuZcpE
Supplier#000001245  bztTCfHZnsLafgtZWe,isV Gr 4IFg
Supplier#000001501  xL06,Y 2M3CjPr      
Supplier#000001624  ISkTuv6KLp9AcxdWRGJ8 ey,r56tQ9DozGP
Supplier#000001730  Rc8e,1Pybn r6zo0VJIEiD0UD vhk
Supplier#000001806  M934fuZSnLW         
Supplier#000001856  jXcRgzYF0ah05iR8p6w5SbJJLcUGyYiURPvFwUWM
Supplier#000001873  Tdzlitffjp,Qv7bB3mWthF8
Supplier#000001931  FpJbMU2h6ZR2eBv8I9NIxF
Supplier#000001939  Nrk,JA4bfReUs       
Supplier#000001958  bJAZFisYzqSFaspq2XQOVwrEpGgtTe9 1ccU9RJ
Supplier#000001990  DSDJkCgBJzuPg1yuM,CUdLnsRliOxkkHezTCA
Supplier#000002020  jB6r1d7MxP6co       
Supplier#000002036  20ytTtVObjKUUI2WCB0A
Supplier#000002096  kuxseyLtq QPLXxm9ZUrnB6Kkh92JtK5cQzzXNU
Supplier#000002218  nODZw5q4dx kp0K5    
Supplier#000002241  iGV,9clV9LwufQVVqiOO1plFx
Supplier#000002245  hz2qWXWVjOyKhqPYMoEwz6zFkrTaDM
Supplier#000002282  ES21K9dxoW1I1TzWCj7ekdlNwSWnv1Z  6mQ,BKn
Supplier#000002331  WRh2w5WFvRg7Z0S1AvSvHCL
Supplier#000002419  qydBQd14I5l5mVXa4fYY
Supplier#000002444  q8x5 AFA, 9zfXRVYkn67kb3o0AagF
Supplier#000002460  wu8B2e YWGoKM fi e23UQn,YD79edUIIXX
Supplier#000002494  8 j3qJvL6qjroE avAdKFooKo4IMH2oPHLXH0H9p
Supplier#000002571  JZUugz04c iJFLrlGsz9O N,W 1rVHNIReyq
Supplier#000002719  4nnzQI2CbqREQUuIsXTBVUkaP4mNS3
Supplier#000002840  nXVY3S0,1VZrTavsOSFyBZx DOUU
Supplier#000002853  rTNAOItXka          
Supplier#000002960  KCPCEsRGGo6vx8TygHh60nAYf9rStQT2T
Supplier#000002980  B9k9yVsyaXvWktOSHezqHiAEp9id0SKzkw
Supplier#000003062  LSQNgqY1xnOzz9zBCapy7HwOZQ
Supplier#000003087  ANwe8QsZ4rgj1HSqVz991eWQ
Supplier#000003095  HxON3jJhUi3zjt,r mTD
Supplier#000003161  cQScZDuLpBSAU9RlV4OxyvJeHbMpjfwoX
Supplier#000003169  ODz6ABJGTs8Qnz      
Supplier#000003185  hMa535Cbf2mj1Nw4OWOKWVrsK0VdDkJURrdjSIJe
Supplier#000003189  DWdPxt7 RnkZv6VOByR0em
Supplier#000003201  E87yws6I,t0qNs4QW7UzExKiJnJDZWue
Supplier#000003288  EDdfNt7E5Uc,xLTupoIgYL4yY7ujh,
Supplier#000003304  wLN88ULs9Y          
Supplier#000003313  El2I7we,049SPrvomUm4hZwJoOhZkvLxLJXgVH
Supplier#000003314  jnisU8MzqO4iUB3zsPcrysMw3DDUojS4q7LD
Supplier#000003403  e3X2o ,KCG9tsHji8A XXCxiF2hZWBw
Supplier#000003421  Sh3dt9W5oeofFWovnFhrg,
Supplier#000003423  ,,hFmixRsUfI        
Supplier#000003469  Paa wUpqFS          
Supplier#000003561  Zc9L62QD0dCSXxykBJS1K
Supplier#000003607  lNqFHQYjwSAkf       
Supplier#000003617  LB 87BiV4saHACdKeIqnp5SrBvLAu
Supplier#000003679  CtP5pEp8k7H         
Supplier#000003797  UuWXXv4ID LLOj      
Supplier#000003849  KgbZEaRk,6Q3mWvwh6uptrs1KRUHg 0
Supplier#000003894  vvGC rameLOk        
Supplier#000003941  Pmb05mQfBMS618O7WKqZJ 9vyv
Supplier#000003994  W00LZp3NjK0         
Supplier#000004005  V723F1wCy2eA4OgIu8TjBtOVUHp
Supplier#000004201  C5x43M76dnb1w2LFbhB 
Supplier#000004207  tF64pwiOM4IkWjN3mS,e06WuAjLx
Supplier#000004246  Xha aXQF7u4qU3LsHD  
Supplier#000004353  b4HfPj9UX35uP2H7a6xohz7orfVX
Supplier#000004430  yvSsKNSTL5HLXBET4luOsPNLxKzAMk
Supplier#000004522  xXtCKwsZDArxIBGDfzX2PgobGZsBg
Supplier#000004527  p pVXCnxgcklWF6A1o3OHY3qW6
Supplier#000004542  NJSbLJDroYG2y1r3rDiKg
Supplier#000004574  1HvGwnVueZ5CIndc    
Supplier#000004701  6jX4u47URzIMHf      
Supplier#000004769  Iom2IeCJ44BiWH      
Supplier#000004884  42Z1uLye9nsn6aTGBNd dI8 x
Supplier#000004987  UFx1upJ8MvOvgFjA8   
Supplier#000005000  DeX804 w0H8FrCUvahgy ilbuzBX3NK
Supplier#000005015  HOXohc8D8KJ Yx2WIOL 5EvtdnTqwXSo
Supplier#000005036  Ftq,HCpxZ0          
Supplier#000005192  JDp4rhXiDw0kf6RH    
Supplier#000005195  Woi3b2ZaicPh ZSfu1EfXhE
Supplier#000005257  f9g8SEHB7obMj3QXAjXS2vfYY22
Supplier#000005300  gXG28YqpxU          
Supplier#000005309  kzmvKlSiri          
Supplier#000005323  tMCkdqbDoyNo8vMIkzjBqYexoRAuv,T6 qzcu
Supplier#000005366  xZ1YlzN4ielvPCH3se9 
