s_name              numwait             
----------------------------------------
Supplier#000015634  20                  
Supplier#000011469  19                  
Supplier#000013329  19                  
Supplier#000000578  18                  
Supplier#000000778  18                  
Supplier#000002410  18                  
Supplier#000007889  18                  
Supplier#000008492  18                  
Supplier#000016433  18                  
Supplier#000016857  18                  
Supplier#000000427  17                  
Supplier#000000610  17                  
Supplier#000003294  17                  
Supplier#000003949  17                  
Supplier#000004477  17                  
Supplier#000005235  17                  
Supplier#000005619  17                  
Supplier#000007619  17                  
Supplier#000009850  17                  
Supplier#000011444  17                  
Supplier#000011612  17                  
Supplier#000016771  17                  
Supplier#000017334  17                  
Supplier#000019289  17                  
Supplier#000000660  16                  
Supplier#000005662  16                  
Supplier#000005755  16                  
Supplier#000006210  16                  
Supplier#000008390  16                  
Supplier#000008996  16                  
Supplier#000010026  16                  
Supplier#000010487  16                  
Supplier#000010592  16                  
Supplier#000012671  16                  
Supplier#000014623  16                  
Supplier#000014759  16                  
Supplier#000015320  16                  
Supplier#000016149  16                  
Supplier#000016188  16                  
Supplier#000017160  16                  
Supplier#000017283  16                  
Supplier#000017532  16                  
Supplier#000000889  15                  
Supplier#000001054  15                  
Supplier#000001390  15                  
Supplier#000005193  15                  
Supplier#000006326  15                  
Supplier#000007417  15                  
Supplier#000008702  15                  
Supplier#000008713  15                  
Supplier#000009179  15                  
Supplier#000010070  15                  
Supplier#000010089  15                  
Supplier#000012447  15                  
Supplier#000012691  15                  
Supplier#000014180  15                  
Supplier#000014395  15                  
Supplier#000014533  15                  
Supplier#000015319  15                  
Supplier#000015485  15                  
Supplier#000015518  15                  
Supplier#000015904  15                  
Supplier#000016580  15                  
Supplier#000018178  15                  
Supplier#000000357  14                  
Supplier#000000633  14                  
Supplier#000000687  14                  
Supplier#000000709  14                  
Supplier#000001152  14                  
Supplier#000001439  14                  
Supplier#000002039  14                  
Supplier#000002357  14                  
Supplier#000002546  14                  
Supplier#000003267  14                  
Supplier#000003675  14                  
Supplier#000004100  14                  
Supplier#000004169  14                  
Supplier#000004472  14                  
Supplier#000006281  14                  
Supplier#000006381  14                  
Supplier#000007116  14                  
Supplier#000007290  14                  
Supplier#000007810  14                  
Supplier#000008283  14                  
Supplier#000008310  14                  
Supplier#000008398  14                  
Supplier#000008551  14                  
Supplier#000009543  14                  
Supplier#000009648  14                  
Supplier#000010122  14                  
Supplier#000010349  14                  
Supplier#000010782  14                  
Supplier#000011865  14                  
Supplier#000012512  14                  
Supplier#000013093  14                  
Supplier#000014342  14                  
Supplier#000014555  14                  
Supplier#000015084  14                  
Supplier#000015145  14                  
Supplier#000015508  14                  
Supplier#000015877  14                  
Supplier#000016377  14                  
Supplier#000017308  14                  
Supplier#000017338  14                  
Supplier#000017818  14                  
Supplier#000018029  14                  
Supplier#000018261  14                  
Supplier#000018965  14                  
Supplier#000019206  14                  
Supplier#000019562  14                  
Supplier#000000074  13                  
Supplier#000000380  13                  
Supplier#000000445  13                  
Supplier#000000460  13                  
Supplier#000000486  13                  
Supplier#000000762  13                  
Supplier#000000788  13                  
Supplier#000001046  13                  
Supplier#000001356  13                  
Supplier#000001456  13                  
Supplier#000001951  13                  
Supplier#000002322  13                  
Supplier#000002540  13                  
Supplier#000002647  13                  
Supplier#000002717  13                  
Supplier#000002926  13                  
Supplier#000003777  13                  
Supplier#000004625  13                  
Supplier#000005413  13                  
Supplier#000005469  13                  
Supplier#000006342  13                  
Supplier#000006547  13                  
Supplier#000006624  13                  
Supplier#000006825  13                  
Supplier#000006909  13                  
Supplier#000007002  13                  
Supplier#000008180  13                  
Supplier#000008331  13                  
Supplier#000008882  13                  
Supplier#000009164  13                  
Supplier#000009224  13                  
Supplier#000010213  13                  
Supplier#000010800  13                  
Supplier#000010857  13                  
Supplier#000011307  13                  
Supplier#000011647  13                  
Supplier#000011670  13                  
Supplier#000011690  13                  
Supplier#000011731  13                  
Supplier#000014352  13                  
Supplier#000014377  13                  
Supplier#000014671  13                  
Supplier#000014892  13                  
Supplier#000015247  13                  
Supplier#000015260  13                  
Supplier#000015442  13                  
Supplier#000015604  13                  
Supplier#000015882  13                  
Supplier#000015942  13                  
Supplier#000016096  13                  
Supplier#000016485  13                  
Supplier#000016956  13                  
Supplier#000017133  13                  
Supplier#000017209  13                  
Supplier#000017621  13                  
Supplier#000017966  13                  
Supplier#000018483  13                  
Supplier#000018787  13                  
Supplier#000019070  13                  
Supplier#000019340  13                  
Supplier#000019569  13                  
Supplier#000019756  13                  
Supplier#000019910  13                  
Supplier#000000188  12                  
Supplier#000000399  12                  
Supplier#000000565  12                  
Supplier#000000648  12                  
Supplier#000001058  12                  
Supplier#000001251  12                  
