c_count             custdist            
----------------------------------------
0                   200013              
10                  26544               
9                   25888               
11                  24972               
8                   23369               
12                  22295               
13                  20026               
7                   18775               
19                  18575               
18                  18288               
20                  18100               
14                  18049               
17                  18044               
16                  17565               
15                  17386               
21                  17095               
22                  15091               
6                   13127               
23                  13099               
24                  10543               
25                  8664                
5                   7890                
26                  6270                
27                  4737                
4                   3973                
28                  3253                
29                  2253                
3                   1681                
30                  1499                
31                  924                 
32                  605                 
2                   498                 
33                  376                 
34                  197                 
35                  120                 
1                   95                  
36                  57                  
37                  29                  
39                  16                  
38                  10                  
41                  4                   
40                  3                   
44                  1                   
43                  1                   
