nation              o_year              sum_profit          
------------------------------------------------------------
ALGERIA             1998                109261025.982800    
ALGERIA             1997                189381085.618900    
ALGERIA             1996                192116537.320400    
ALGERIA             1995                186868762.012700    
ALGERIA             1994                184392772.870900    
ALGERIA             1993                191221382.564900    
ALGERIA             1992                188175398.329900    
ARGENTINA           1998                106682690.749900    
ARGENTINA           1997                184476230.766200    
ARGENTINA           1996                181071125.995500    
ARGENTINA           1995                191593889.306300    
ARGENTINA           1994                190923053.368600    
ARGENTINA           1993                183360824.346600    
ARGENTINA           1992                191942786.486000    
BRAZIL              1998                108491580.380600    
BRAZIL              1997                179686784.104400    
BRAZIL              1996                185153505.337400    
BRAZIL              1995                182074577.771500    
BRAZIL              1994                184945596.638100    
BRAZIL              1993                181256422.255000    
BRAZIL              1992                182817232.919500    
CANADA              1998                112995111.950600    
CANADA              1997                196614358.734100    
CANADA              1996                191985129.414800    
CANADA              1995                194502011.517900    
CANADA              1994                191871460.709800    
CANADA              1993                192874507.041800    
CANADA              1992                190936303.656900    
CHINA               1998                108475481.323300    
CHINA               1997                188665363.088600    
CHINA               1996                191152483.936000    
CHINA               1995                193644997.931300    
CHINA               1994                195274115.179200    
CHINA               1993                187800004.619000    
CHINA               1992                191582341.915400    
EGYPT               1998                110914283.801300    
EGYPT               1997                186276293.590100    
EGYPT               1996                186566596.876900    
EGYPT               1995                187572878.870300    
EGYPT               1994                189531026.641000    
EGYPT               1993                187743566.772700    
EGYPT               1992                191365793.048500    
ETHIOPIA            1998                106776305.600600    
ETHIOPIA            1997                179043183.389500    
ETHIOPIA            1996                185258604.671600    
ETHIOPIA            1995                178304174.877900    
ETHIOPIA            1994                181907052.306600    
ETHIOPIA            1993                182526073.316900    
ETHIOPIA            1992                180719227.901400    
FRANCE              1998                116064368.519800    
FRANCE              1997                189917323.930600    
FRANCE              1996                190450469.526900    
FRANCE              1995                187276471.758200    
FRANCE              1994                185495200.175400    
FRANCE              1993                190267579.403700    
FRANCE              1992                186916320.649800    
GERMANY             1998                109795080.977300    
GERMANY             1997                178125630.147800    
GERMANY             1996                185892084.261100    
GERMANY             1995                188107312.780600    
GERMANY             1994                184030534.283600    
GERMANY             1993                185435825.019100    
GERMANY             1992                185772204.434400    
INDIA               1998                113955918.798700    
INDIA               1997                185519820.463100    
INDIA               1996                187092475.099900    
INDIA               1995                191156054.399200    
INDIA               1994                185977877.644000    
INDIA               1993                184892112.012800    
INDIA               1992                188088214.475900    
INDONESIA           1998                116734527.114200    
INDONESIA           1997                195837069.313900    
INDONESIA           1996                194039177.204200    
INDONESIA           1995                196682455.180200    
INDONESIA           1994                198523450.077400    
