ps_partkey          value               
----------------------------------------
547714              19813520.000000     
1549794             19576317.340000     
112382              18931925.720000     
945532              18823091.150000     
1387249             18555601.250000     
571346              18109185.630000     
764181              17898036.240000     
107933              17888389.650000     
178583              17833932.420000     
359550              17520112.880000     
982995              17518593.680000     
28504               17437533.590000     
925521              17435845.980000     
806955              17361671.780000     
1154527             17353691.720000     
1075171             17189849.010000     
756361              16961764.940000     
857636              16945519.960000     
1218986             16772137.920000     
1484049             16679149.440000     
1487709             16607486.960000     
146390              16591567.460000     
412489              16553223.080000     
230362              16507062.300000     
1030145             16397498.730000     
1555124             16344054.250000     
738671              16336497.480000     
591140              16258992.860000     
1431487             16197693.260000     
981116              16093669.670000     
511685              16064776.500000     
1287145             16060895.840000     
684638              16016180.060000     
68494               15928295.570000     
1512655             15880385.540000     
1288642             15866175.860000     
1123287             15823463.310000     
38275               15787459.110000     
1353156             15741883.100000     
904466              15724522.630000     
1255139             15694532.690000     
298695              15673132.010000     
589014              15662049.320000     
13516               15651227.160000     
760635              15649097.880000     
635082              15615038.160000     
1562644             15560244.540000     
430617              15458825.940000     
428726              15440629.160000     
188637              15401879.550000     
298242              15364124.340000     
1483687             15355599.100000     
221725              15346826.620000     
20134               15333624.310000     
1134739             15332082.980000     
843391              15308732.350000     
568473              15270259.950000     
872665              15263481.600000     
1105873             15221050.120000     
526951              15215834.590000     
607814              15212335.440000     
190058              15204083.370000     
296068              15182456.450000     
40134               15181193.240000     
1115249             15163266.620000     
38670               15150557.140000     
1407384             15101930.680000     
244276              15097772.550000     
856758              15090294.260000     
943380              15068436.700000     
327363              15056311.740000     
548958              15042006.880000     
162445              14990548.670000     
1579204             14963639.050000     
985262              14952371.480000     
574504              14948968.660000     
362185              14919844.870000     
1011349             14888736.280000     
1539251             14884607.160000     
1220134             14879469.540000     
771494              14853040.440000     
1193154             14839015.090000     
119599              14798217.860000     
915841              14778056.610000     
540974              14751642.070000     
860870              14726074.970000     
76281               14604394.850000     
1380465             14582534.400000     
37099               14559634.450000     
1170060             14552761.460000     
918676              14497979.740000     
872698              14492797.000000     
1281559             14424918.330000     
1430926             14418298.450000     
1012775             14409385.420000     
240476              14408095.910000     
299145              14404043.170000     
318698              14363165.980000     
636952              14357192.070000     
850330              14348714.880000     
55162               14340824.480000     
238089              14331826.020000     
920488              14331164.380000     
1167124             14323962.210000     
700950              14321264.080000     
740359              14319477.300000     
1070729             14301793.800000     
128082              14284886.410000     
1285857             14235850.100000     
1227211             14228317.720000     
202666              14225395.580000     
885271              14224700.430000     
480257              14218670.360000     
1573912             14214749.820000     
734669              14209189.880000     
323211              14195342.900000     
501384              14174837.920000     
99598               14168367.680000     
668806              14133473.800000     
1452148             14111998.110000     
1427740             14109138.820000     
1101480             14091019.270000     
471762              14059244.240000     
1331703             14055400.340000     
759594              14055135.450000     
1493512             14054062.140000     
1043145             14022094.400000     
1540529             14015735.820000     
164669              14002690.910000     
208639              13987186.400000     
1543188             13958246.740000     
684168              13943842.830000     
818259              13924419.160000     
1055413             13921133.520000     
1561397             13916138.580000     
507014              13898620.700000     
1351520             13879582.450000     
562682              13879391.480000     
711076              13871592.450000     
478114              13863268.560000     
62206               13858331.600000     
668323              13856245.740000     
60084               13850051.800000     
746039              13846341.690000     
360263              13844317.650000     
1416747             13838554.450000     
1187224             13837361.920000     
991836              13822849.500000     
1213049             13808290.390000     
509688              13796182.350000     
1259554             13787425.090000     
324274              13770184.520000     
677328              13748317.640000     
1020876             13719721.520000     
1347220             13716503.600000     
1595162             13710759.040000     
288297              13708256.170000     
450354              13705998.040000     
352316              13695716.950000     
864264              13694919.830000     
201659              13694896.700000     
557207              13691379.530000     
245864              13678125.390000     
164629              13643984.520000     
1552594             13598372.910000     
1395708             13583234.040000     
20984               13579062.650000     
157552              13574565.460000     
1115051             13564650.990000     
981972              13557157.180000     
1017226             13553410.550000     
894148              13538179.880000     
392951              13529500.860000     
40532               13507797.220000     
7395                13485200.800000     
1366582             13477276.210000     
1374177             13468609.560000     
518199              13465753.020000     
1032232             13461473.160000     
526021              13454035.360000     
351837              13443243.670000     
773994              13437526.180000     
410568              13430296.190000     
1444703             13415632.600000     
1360113             13397814.400000     
968853              13391675.870000     
254187              13382866.320000     
94788               13375353.390000     
204399              13371767.580000     
962620              13360451.780000     
323342              13354889.760000     
1496734             13352547.630000     
642736              13324732.810000     
260999              13315883.440000     
94105               13312670.040000     
852006              13308273.700000     
1159831             13304651.790000     
167787              13273349.180000     
1333140             13267325.560000     
1583095             13259298.000000     
1376946             13235642.660000     
433849              13231867.340000     
290802              13228258.680000     
771404              13225314.360000     
1458313             13212402.880000     
312220              13195972.790000     
310762              13188734.460000     
1440840             13177239.220000     
1027231             13170365.900000     
1307531             13168178.990000     
178514              13150791.460000     
