c_name              c_custkey           o_orderkey          o_orderdate         o_totalprice        sum                 
------------------------------------------------------------------------------------------------------------------------
Customer#000312967  312967              26587169            1996-01-19          569640.610000       306.000000          
Customer#000934606  934606              41277440            1997-02-19          561174.040000       314.000000          
Customer#000311578  311578              21135524            1992-11-22          542959.740000       320.000000          
Customer#001194362  1194362             30332516            1996-03-10          541833.170000       310.000000          
Customer#000169961  169961              23245603            1994-11-22          540885.240000       321.000000          
Customer#000657337  657337              22897223            1998-01-24          540384.580000       309.000000          
Customer#000023275  23275               46892804            1998-04-24          538824.900000       303.000000          
Customer#001185565  1185565             43609317            1996-02-17          535425.800000       325.000000          
Customer#001014913  1014913             4702759             1994-11-07          534849.810000       320.000000          
Customer#000534305  534305              2199712             1996-09-30          533687.200000       327.000000          
Customer#000507412  507412              46678469            1995-01-27          531947.460000       307.000000          
Customer#000981680  981680              35542498            1993-10-12          531798.280000       325.000000          
Customer#000400453  400453              35383045            1997-12-11          529265.340000       317.000000          
Customer#000145300  145300              17457767            1993-06-05          528476.500000       316.000000          
Customer#000551977  551977              11120293            1995-08-08          526453.170000       311.000000          
Customer#000141955  141955              6882                1997-04-09          525354.350000       303.000000          
Customer#000944447  944447              19217698            1993-03-26          525122.660000       316.000000          
Customer#000292946  292946              4806726             1995-01-17          525083.480000       328.000000          
Customer#000157547  157547              26011682            1994-10-03          523870.820000       303.000000          
Customer#000070357  70357               10805828            1997-07-29          521723.410000       316.000000          
Customer#000380452  380452              37828134            1996-03-22          518310.610000       312.000000          
Customer#000056006  56006               6899299             1995-06-09          517934.080000       304.000000          
Customer#000377243  377243              43846177            1992-01-24          517309.130000       306.000000          
Customer#000965656  965656              34201984            1997-06-18          516285.410000       322.000000          
Customer#000026528  26528               17301668            1995-04-24          515906.090000       302.000000          
Customer#000190267  190267              42146816            1996-05-24          515794.150000       301.000000          
Customer#000087854  87854               10408580            1994-09-03          515759.080000       320.000000          
Customer#000144775  144775              28378659            1997-03-21          514724.340000       303.000000          
Customer#000873625  873625              15373056            1996-11-07          512695.030000       301.000000          
Customer#000047677  47677               18871616            1992-07-31          512122.280000       312.000000          
Customer#000378541  378541              11484962            1992-02-10          509509.810000       306.000000          
Customer#000858697  858697              40356833            1998-04-29          509467.090000       315.000000          
Customer#000622528  622528              18927141            1994-02-11          509120.040000       308.000000          
Customer#000433858  433858              20524164            1995-03-04          509082.460000       309.000000          
Customer#000093820  93820               8506019             1992-12-16          508692.040000       306.000000          
Customer#000276455  276455              8991333             1995-04-10          506269.770000       305.000000          
Customer#000340720  340720              29109127            1994-02-02          506134.410000       307.000000          
Customer#000885061  885061              23906277            1997-03-20          505814.390000       314.000000          
Customer#000331691  331691              8639938             1996-08-30          505721.400000       301.000000          
Customer#001076662  1076662             18449123            1993-09-30          505583.350000       313.000000          
Customer#000407305  407305              43952871            1996-10-11          505299.730000       301.000000          
Customer#000990199  990199              34142818            1992-06-30          504274.380000       310.000000          
Customer#000087521  87521               10612710            1995-02-05          502135.610000       319.000000          
Customer#000121264  121264              47058404            1993-08-07          502031.340000       308.000000          
Customer#000466228  466228              18302693            1993-10-23          501216.680000       309.000000          
